date,Bullish,Bearish
2019-03-31,27,15
2019-04-01,27,15
2019-04-02,27,15
2019-04-03,27,15
2019-04-04,27,15
2019-04-05,27,15
2019-04-06,27,15
2019-04-07,27,14
2019-04-08,27,14
2019-04-09,27,14
2019-04-10,27,14
2019-04-11,27,14
2019-04-12,27,14
2019-04-13,27,14
2019-04-14,21,13
2019-04-15,21,13
2019-04-16,21,13
2019-04-17,21,13
2019-04-18,21,13
2019-04-19,21,13
2019-04-20,21,13
2019-04-21,27,16
2019-04-22,27,16
2019-04-23,27,16
2019-04-24,27,16
2019-04-25,27,16
2019-04-26,27,16
2019-04-27,27,16
2019-04-28,23,14
2019-04-29,23,14
2019-04-30,23,14
2019-05-01,23,14
2019-05-02,23,14
2019-05-03,23,14
2019-05-04,23,14
2019-05-05,24,13
2019-05-06,24,13
2019-05-07,24,13
2019-05-08,24,13
2019-05-09,24,13
2019-05-10,24,13
2019-05-11,24,13
2019-05-12,28,17
2019-05-13,28,17
2019-05-14,28,17
2019-05-15,28,17
2019-05-16,28,17
2019-05-17,28,17
2019-05-18,28,17
2019-05-19,25,13
2019-05-20,25,13
2019-05-21,25,13
2019-05-22,25,13
2019-05-23,25,13
2019-05-24,25,13
2019-05-25,25,13
2019-05-26,26,14
2019-05-27,26,14
2019-05-28,26,14
2019-05-29,26,14
2019-05-30,26,14
2019-05-31,26,14
2019-06-01,26,14
2019-06-02,25,16
2019-06-03,25,16
2019-06-04,25,16
2019-06-05,25,16
2019-06-06,25,16
2019-06-07,25,16
2019-06-08,25,16
2019-06-09,26,16
2019-06-10,26,16
2019-06-11,26,16
2019-06-12,26,16
2019-06-13,26,16
2019-06-14,26,16
2019-06-15,26,16
2019-06-16,28,17
2019-06-17,28,17
2019-06-18,28,17
2019-06-19,28,17
2019-06-20,28,17
2019-06-21,28,17
2019-06-22,28,17
2019-06-23,27,16
2019-06-24,27,16
2019-06-25,27,16
2019-06-26,27,16
2019-06-27,27,16
2019-06-28,27,16
2019-06-29,27,16
2019-06-30,24,15
2019-07-01,24,15
2019-07-02,24,15
2019-07-03,24,15
2019-07-04,24,15
2019-07-05,24,15
2019-07-06,24,15
2019-07-07,32,17
2019-07-08,32,17
2019-07-09,32,17
2019-07-10,32,17
2019-07-11,32,17
2019-07-12,32,17
2019-07-13,32,17
2019-07-14,26,18
2019-07-15,26,18
2019-07-16,26,18
2019-07-17,26,18
2019-07-18,26,18
2019-07-19,26,18
2019-07-20,26,18
2019-07-21,24,16
2019-07-22,24,16
2019-07-23,24,16
2019-07-24,24,16
2019-07-25,24,16
2019-07-26,24,16
2019-07-27,24,16
2019-07-28,28,19
2019-07-29,28,19
2019-07-30,28,19
2019-07-31,28,19
2019-08-01,28,19
2019-08-02,28,19
2019-08-03,28,19
2019-08-04,25,19
2019-08-05,25,19
2019-08-06,25,19
2019-08-07,25,19
2019-08-08,25,19
2019-08-09,25,19
2019-08-10,25,19
2019-08-11,27,17
2019-08-12,27,17
2019-08-13,27,17
2019-08-14,27,17
2019-08-15,27,17
2019-08-16,27,17
2019-08-17,27,17
2019-08-18,29,19
2019-08-19,29,19
2019-08-20,29,19
2019-08-21,29,19
2019-08-22,29,19
2019-08-23,29,19
2019-08-24,29,19
2019-08-25,27,16
2019-08-26,27,16
2019-08-27,27,16
2019-08-28,27,16
2019-08-29,27,16
2019-08-30,27,16
2019-08-31,27,16
2019-09-01,26,16
2019-09-02,26,16
2019-09-03,26,16
2019-09-04,26,16
2019-09-05,26,16
2019-09-06,26,16
2019-09-07,26,16
2019-09-08,28,16
2019-09-09,28,16
2019-09-10,28,16
2019-09-11,28,16
2019-09-12,28,16
2019-09-13,28,16
2019-09-14,28,16
2019-09-15,27,16
2019-09-16,27,16
2019-09-17,27,16
2019-09-18,27,16
2019-09-19,27,16
2019-09-20,27,16
2019-09-21,27,16
2019-09-22,30,16
2019-09-23,30,16
2019-09-24,30,16
2019-09-25,30,16
2019-09-26,30,16
2019-09-27,30,16
2019-09-28,30,16
2019-09-29,27,14
2019-09-30,27,14
2019-10-01,27,14
2019-10-02,27,14
2019-10-03,27,14
2019-10-04,27,14
2019-10-05,27,14
2019-10-06,26,16
2019-10-07,26,16
2019-10-08,26,16
2019-10-09,26,16
2019-10-10,26,16
2019-10-11,26,16
2019-10-12,26,16
2019-10-13,27,16
2019-10-14,27,16
2019-10-15,27,16
2019-10-16,27,16
2019-10-17,27,16
2019-10-18,27,16
2019-10-19,27,16
2019-10-20,26,15
2019-10-21,26,15
2019-10-22,26,15
2019-10-23,26,15
2019-10-24,26,15
2019-10-25,26,15
2019-10-26,26,15
2019-10-27,25,15
2019-10-28,25,15
2019-10-29,25,15
2019-10-30,25,15
2019-10-31,25,15
2019-11-01,25,15
2019-11-02,25,15
2019-11-03,26,17
2019-11-04,26,17
2019-11-05,26,17
2019-11-06,26,17
2019-11-07,26,17
2019-11-08,26,17
2019-11-09,26,17
2019-11-10,27,16
2019-11-11,27,16
2019-11-12,27,16
2019-11-13,27,16
2019-11-14,27,16
2019-11-15,27,16
2019-11-16,27,16
2019-11-17,29,14
2019-11-18,29,14
2019-11-19,29,14
2019-11-20,29,14
2019-11-21,29,14
2019-11-22,29,14
2019-11-23,29,14
2019-11-24,23,13
2019-11-25,23,13
2019-11-26,23,13
2019-11-27,23,13
2019-11-28,23,13
2019-11-29,23,13
2019-11-30,23,13
2019-12-01,26,16
2019-12-02,26,16
2019-12-03,26,16
2019-12-04,26,16
2019-12-05,26,16
2019-12-06,26,16
2019-12-07,26,16
2019-12-08,25,14
2019-12-09,25,14
2019-12-10,25,14
2019-12-11,25,14
2019-12-12,25,14
2019-12-13,25,14
2019-12-14,25,14
2019-12-15,29,16
2019-12-16,29,16
2019-12-17,29,16
2019-12-18,29,16
2019-12-19,29,16
2019-12-20,29,16
2019-12-21,29,16
2019-12-22,20,10
2019-12-23,20,10
2019-12-24,20,10
2019-12-25,20,10
2019-12-26,20,10
2019-12-27,20,10
2019-12-28,20,10
2019-12-29,24,15
2019-12-30,24,15
2019-12-31,24,15
2020-01-01,24,15
2020-01-02,24,15
2020-01-03,24,15
2020-01-04,24,15
2020-01-05,31,16
2020-01-06,31,16
2020-01-07,31,16
2020-01-08,31,16
2020-01-09,31,16
2020-01-10,31,16
2020-01-11,31,16
2020-01-12,31,17
2020-01-13,31,17
2020-01-14,31,17
2020-01-15,31,17
2020-01-16,31,17
2020-01-17,31,17
2020-01-18,31,17
2020-01-19,30,18
2020-01-20,30,18
2020-01-21,30,18
2020-01-22,30,18
2020-01-23,30,18
2020-01-24,30,18
2020-01-25,30,18
2020-01-26,28,16
2020-01-27,28,16
2020-01-28,28,16
2020-01-29,28,16
2020-01-30,28,16
2020-01-31,28,16
2020-02-01,28,16
2020-02-02,34,21
2020-02-03,34,21
2020-02-04,34,21
2020-02-05,34,21
2020-02-06,34,21
2020-02-07,34,21
2020-02-08,34,21
2020-02-09,33,18
2020-02-10,33,18
2020-02-11,33,18
2020-02-12,33,18
2020-02-13,33,18
2020-02-14,33,18
2020-02-15,33,18
2020-02-16,30,17
2020-02-17,30,17
2020-02-18,30,17
2020-02-19,30,17
2020-02-20,30,17
2020-02-21,30,17
2020-02-22,30,17
2020-02-23,32,21
2020-02-24,32,21
2020-02-25,32,21
2020-02-26,32,21
2020-02-27,32,21
2020-02-28,32,21
2020-02-29,32,21
2020-03-01,33,22
2020-03-02,33,22
2020-03-03,33,22
2020-03-04,33,22
2020-03-05,33,22
2020-03-06,33,22
2020-03-07,33,22
2020-03-08,34,32
2020-03-09,34,32
2020-03-10,34,32
2020-03-11,34,32
2020-03-12,34,32
2020-03-13,34,32
2020-03-14,34,32
2020-03-15,38,29
2020-03-16,38,29
2020-03-17,38,29
2020-03-18,38,29
2020-03-19,38,29
2020-03-20,38,29
2020-03-21,38,29
2020-03-22,39,29
2020-03-23,39,29
2020-03-24,39,29
2020-03-25,39,29
2020-03-26,39,29
2020-03-27,39,29
2020-03-28,39,29
2020-03-29,39,27
2020-03-30,39,27
2020-03-31,39,27
2020-04-01,39,27
2020-04-02,39,27
2020-04-03,39,27
2020-04-04,39,27
2020-04-05,42,33
2020-04-06,42,33
2020-04-07,42,33
2020-04-08,42,33
2020-04-09,42,33
2020-04-10,42,33
2020-04-11,42,33
2020-04-12,52,34
2020-04-13,52,34
2020-04-14,52,34
2020-04-15,52,34
2020-04-16,52,34
2020-04-17,52,34
2020-04-18,52,34
2020-04-19,51,37
2020-04-20,51,37
2020-04-21,51,37
2020-04-22,51,37
2020-04-23,51,37
2020-04-24,51,37
2020-04-25,51,37
2020-04-26,55,36
2020-04-27,55,36
2020-04-28,55,36
2020-04-29,55,36
2020-04-30,55,36
2020-05-01,55,36
2020-05-02,55,36
2020-05-03,53,35
2020-05-04,53,35
2020-05-05,53,35
2020-05-06,53,35
2020-05-07,53,35
2020-05-08,53,35
2020-05-09,53,35
2020-05-10,52,34
2020-05-11,52,34
2020-05-12,52,34
2020-05-13,52,34
2020-05-14,52,34
2020-05-15,52,34
2020-05-16,52,34
2020-05-17,49,34
2020-05-18,49,34
2020-05-19,49,34
2020-05-20,49,34
2020-05-21,49,34
2020-05-22,49,34
2020-05-23,49,34
2020-05-24,49,30
2020-05-25,49,30
2020-05-26,49,30
2020-05-27,49,30
2020-05-28,49,30
2020-05-29,49,30
2020-05-30,49,30
2020-05-31,50,32
2020-06-01,50,32
2020-06-02,50,32
2020-06-03,50,32
2020-06-04,50,32
2020-06-05,50,32
2020-06-06,50,32
2020-06-07,54,38
2020-06-08,54,38
2020-06-09,54,38
2020-06-10,54,38
2020-06-11,54,38
2020-06-12,54,38
2020-06-13,54,38
2020-06-14,50,30
2020-06-15,50,30
2020-06-16,50,30
2020-06-17,50,30
2020-06-18,50,30
2020-06-19,50,30
2020-06-20,50,30
2020-06-21,53,32
2020-06-22,53,32
2020-06-23,53,32
2020-06-24,53,32
2020-06-25,53,32
2020-06-26,53,32
2020-06-27,53,32
2020-06-28,49,29
2020-06-29,49,29
2020-06-30,49,29
2020-07-01,49,29
2020-07-02,49,29
2020-07-03,49,29
2020-07-04,49,29
2020-07-05,52,30
2020-07-06,52,30
2020-07-07,52,30
2020-07-08,52,30
2020-07-09,52,30
2020-07-10,52,30
2020-07-11,52,30
2020-07-12,51,30
2020-07-13,51,30
2020-07-14,51,30
2020-07-15,51,30
2020-07-16,51,30
2020-07-17,51,30
2020-07-18,51,30
2020-07-19,51,28
2020-07-20,51,28
2020-07-21,51,28
2020-07-22,51,28
2020-07-23,51,28
2020-07-24,51,28
2020-07-25,51,28
2020-07-26,51,28
2020-07-27,51,28
2020-07-28,51,28
2020-07-29,51,28
2020-07-30,51,28
2020-07-31,51,28
2020-08-01,51,28
2020-08-02,52,29
2020-08-03,52,29
2020-08-04,52,29
2020-08-05,52,29
2020-08-06,52,29
2020-08-07,52,29
2020-08-08,52,29
2020-08-09,52,29
2020-08-10,52,29
2020-08-11,52,29
2020-08-12,52,29
2020-08-13,52,29
2020-08-14,52,29
2020-08-15,52,29
2020-08-16,51,27
2020-08-17,51,27
2020-08-18,51,27
2020-08-19,51,27
2020-08-20,51,27
2020-08-21,51,27
2020-08-22,51,27
2020-08-23,55,29
2020-08-24,55,29
2020-08-25,55,29
2020-08-26,55,29
2020-08-27,55,29
2020-08-28,55,29
2020-08-29,55,29
2020-08-30,53,33
2020-08-31,53,33
2020-09-01,53,33
2020-09-02,53,33
2020-09-03,53,33
2020-09-04,53,33
2020-09-05,53,33
2020-09-06,47,29
2020-09-07,47,29
2020-09-08,47,29
2020-09-09,47,29
2020-09-10,47,29
2020-09-11,47,29
2020-09-12,47,29
2020-09-13,49,28
2020-09-14,49,28
2020-09-15,49,28
2020-09-16,49,28
2020-09-17,49,28
2020-09-18,49,28
2020-09-19,49,28
2020-09-20,42,27
2020-09-21,42,27
2020-09-22,42,27
2020-09-23,42,27
2020-09-24,42,27
2020-09-25,42,27
2020-09-26,42,27
2020-09-27,38,25
2020-09-28,38,25
2020-09-29,38,25
2020-09-30,38,25
2020-10-01,38,25
2020-10-02,38,25
2020-10-03,38,25
2020-10-04,44,26
2020-10-05,44,26
2020-10-06,44,26
2020-10-07,44,26
2020-10-08,44,26
2020-10-09,44,26
2020-10-10,44,26
2020-10-11,43,27
2020-10-12,43,27
2020-10-13,43,27
2020-10-14,43,27
2020-10-15,43,27
2020-10-16,43,27
2020-10-17,43,27
2020-10-18,42,26
2020-10-19,42,26
2020-10-20,42,26
2020-10-21,42,26
2020-10-22,42,26
2020-10-23,42,26
2020-10-24,42,26
2020-10-25,42,25
2020-10-26,42,25
2020-10-27,42,25
2020-10-28,42,25
2020-10-29,42,25
2020-10-30,42,25
2020-10-31,42,25
2020-11-01,49,23
2020-11-02,49,23
2020-11-03,49,23
2020-11-04,49,23
2020-11-05,49,23
2020-11-06,49,23
2020-11-07,49,23
2020-11-08,43,26
2020-11-09,43,26
2020-11-10,43,26
2020-11-11,43,26
2020-11-12,43,26
2020-11-13,43,26
2020-11-14,43,26
2020-11-15,51,26
2020-11-16,51,26
2020-11-17,51,26
2020-11-18,51,26
2020-11-19,51,26
2020-11-20,51,26
2020-11-21,51,26
2020-11-22,52,25
2020-11-23,52,25
2020-11-24,52,25
2020-11-25,52,25
2020-11-26,52,25
2020-11-27,52,25
2020-11-28,52,25
2020-11-29,49,26
2020-11-30,49,26
2020-12-01,49,26
2020-12-02,49,26
2020-12-03,49,26
2020-12-04,49,26
2020-12-05,49,26
2020-12-06,53,29
2020-12-07,53,29
2020-12-08,53,29
2020-12-09,53,29
2020-12-10,53,29
2020-12-11,53,29
2020-12-12,53,29
2020-12-13,52,25
2020-12-14,52,25
2020-12-15,52,25
2020-12-16,52,25
2020-12-17,52,25
2020-12-18,52,25
2020-12-19,52,25
2020-12-20,45,24
2020-12-21,45,24
2020-12-22,45,24
2020-12-23,45,24
2020-12-24,45,24
2020-12-25,45,24
2020-12-26,45,24
2020-12-27,48,24
2020-12-28,48,24
2020-12-29,48,24
2020-12-30,48,24
2020-12-31,48,24
2021-01-01,48,24
2021-01-02,48,24
2021-01-03,71,32
2021-01-04,71,32
2021-01-05,71,32
2021-01-06,71,32
2021-01-07,71,32
2021-01-08,71,32
2021-01-09,71,32
2021-01-10,75,38
2021-01-11,75,38
2021-01-12,75,38
2021-01-13,75,38
2021-01-14,75,38
2021-01-15,75,38
2021-01-16,75,38
2021-01-17,62,33
2021-01-18,62,33
2021-01-19,62,33
2021-01-20,62,33
2021-01-21,62,33
2021-01-22,62,33
2021-01-23,62,33
2021-01-24,82,47
2021-01-25,82,47
2021-01-26,82,47
2021-01-27,82,47
2021-01-28,82,47
2021-01-29,82,47
